               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059572,            0.046341,                   0,             0.80774,             0.61185,             0.66187,             0.28528,            0.043454,            0.033989,                   0,            0.070018,           0.0033313,           0.0033313
                   1,            0.043607,            0.039121,                   0,             0.84135,             0.66991,             0.73125,             0.35708,            0.037384,            0.032774,                   0,            0.040017,            0.006663,            0.006663
                   2,            0.041113,            0.039941,                   0,             0.83038,             0.67611,             0.73345,             0.39175,            0.035717,            0.033232,                   0,            0.010009,           0.0099882,           0.0099882
                   3,            0.038688,            0.039125,                   0,             0.83673,             0.67303,             0.73179,             0.39052,            0.035298,            0.033029,                   0,            0.009978,            0.009978,            0.009978
                   4,             0.03671,            0.038129,                   0,             0.85337,             0.70341,             0.76568,             0.41423,            0.034225,            0.031871,                   0,            0.009978,            0.009978,            0.009978
                   5,            0.035876,            0.038187,                   0,             0.85255,             0.69836,             0.75931,             0.41995,            0.033377,            0.031933,                   0,            0.009961,            0.009961,            0.009961
                   6,            0.035057,            0.037289,                   0,             0.85795,             0.70685,             0.76674,              0.4286,            0.032777,            0.031345,                   0,           0.0099391,           0.0099391,           0.0099391
                   7,            0.034858,            0.037163,                   0,             0.86196,             0.71097,             0.76946,             0.43139,            0.032741,            0.031172,                   0,           0.0099123,           0.0099123,           0.0099123
                   8,            0.034404,            0.036991,                   0,             0.85949,             0.71621,              0.7774,             0.43992,            0.032247,            0.030988,                   0,           0.0098808,           0.0098808,           0.0098808
                   9,            0.034201,            0.036885,                   0,             0.86395,               0.715,             0.78079,             0.44176,            0.032106,            0.030895,                   0,           0.0098445,           0.0098445,           0.0098445
                  10,            0.033997,            0.036409,                   0,             0.86039,             0.71684,             0.78141,              0.4419,            0.031954,            0.030921,                   0,           0.0098035,           0.0098035,           0.0098035
                  11,            0.033408,            0.035548,                   0,             0.86509,             0.72305,             0.78593,             0.44584,            0.031795,            0.030671,                   0,           0.0097577,           0.0097577,           0.0097577
                  12,            0.033597,            0.036522,                   0,             0.85782,             0.72918,             0.78677,             0.44977,            0.031559,            0.030581,                   0,           0.0097074,           0.0097074,           0.0097074
                  13,            0.033399,            0.036118,                   0,             0.86881,              0.7263,             0.79026,             0.45103,            0.031419,            0.030323,                   0,           0.0096524,           0.0096524,           0.0096524
                  14,            0.033461,            0.036163,                   0,             0.87033,             0.72914,              0.7933,             0.45574,            0.031195,            0.030298,                   0,           0.0095929,           0.0095929,           0.0095929
